epoch,accuracy,precision,recall,f1
1,0.6815416666666667,0.09899458623356536,0.26037428803905616,0.14344951249579738
2,0.6798333333333333,0.09824723247232472,0.2599674532139951,0.14260209774603883
3,0.681875,0.09899302865995352,0.2599674532139951,0.1433860652978795
4,0.6807083333333334,0.0979453112930635,0.25793327908869,0.14197738215205466
5,0.6802916666666666,0.0974216458236838,0.2567127746135069,0.1412423055400112
6,0.6800416666666667,0.09782776151594516,0.258340113913751,0.1419152977986367
7,0.6762916666666666,0.09771246780790789,0.26240846216436126,0.14239982338006402
8,0.6811666666666667,0.09898085237801112,0.26078112286411714,0.14349675397358405
9,0.6827083333333334,0.09880192936051034,0.258340113913751,0.14293753517163757
10,0.6827083333333334,0.09917612311518731,0.2595606183889341,0.14351591497019456
11,0.6821666666666667,0.09897610921501707,0.2595606183889341,0.14330637915543573
12,0.6834166666666667,0.09956372701776255,0.2599674532139951,0.14398377647589003
13,0.6798333333333333,0.09886398526251151,0.26200162733930027,0.14355773517610346
14,0.677125,0.09886277482941623,0.26525630593978844,0.14404064950845025
15,0.6785,0.09862595419847328,0.2628152969894223,0.14342806394316163
16,0.67575,0.09885473176612417,0.26688364524003255,0.14427094787772154
17,0.6742916666666666,0.09700706873214017,0.26240846216436126,0.14164928077303174
18,0.6760416666666667,0.0967693007735477,0.2595606183889341,0.1409788973594078
19,0.6735833333333333,0.09724303266406953,0.26403580146460537,0.14213753832676304
20,0.66875,0.09736070381231672,0.2701383238405207,0.14313429618452253
